,Unnamed: 0,0
0,1,191115_6
1,2,191115_10
2,3,191107_10
3,4,191105_18
4,5,191024_2
5,6,191024_17
6,11,190930_1
7,12,190924_7
8,13,190924_11
9,14,190924_10
10,15,190924_1
11,16,190509_3
12,20,190219_7
13,21,190219_11
14,22,190219_10
15,23,190218_9
16,24,190218_4
17,27,190214_1
18,28,190212_4
19,29,190212_3
20,30,190207_9
21,31,190207_8
22,32,190207_6
23,33,190207_5
24,34,190206_4
25,37,181122_4
26,38,180830_6
27,39,180830_5
28,40,180817_7
29,41,180817_6
30,42,180809_7
31,43,180212_5
32,44,180212_4
33,45,180208_4
34,46,180207_7
35,49,180206_8
36,50,180206_7
37,51,180206_6
38,52,180206_5
39,53,180205_7
40,54,180205_6
41,55,180129_7
42,58,170921_5
43,59,170921_4
44,66,170126_4
45,72,161117_3
46,73,161117_2
47,74,161115_1
48,79,160922_8
49,80,160818_2
50,81,160810_4
51,82,160810_3
52,83,160809_5
53,84,160809_1
54,85,160804_2
55,86,160722_9
56,87,160722_10
57,88,160721_1
58,89,160719_2
59,90,160620_2
60,91,160527_1
61,92,160721_2
62,93,161118_1
63,94,170120_5
64,95,170921_12
65,97,180504_1
66,98,180504_5
67,99,180507_5
68,100,180507_9
69,101,180508_1
70,102,180508_6
71,103,190219_2
72,104,190430_2
