CellID,AHP,AP height,AP1-AP2int,AP9-AP10int,Adaptation,Halfwidth,Latency,Max dV/dt,Max firing freq,Membrane capacitance,Membrane resistance,Membrane time constant,Min dV/dt,Min latency,Rheobase,Sag Ratio,TH,Vm,dV/dt ratio,mAHP,minISI,staining
160817_2,13.8549785614013,65.8874492645263,51.2,72.35,1.1295862607338,0.967086146788356,251.1,10.5895988941192,23.0,98.4638839284081,133.895874023437,11.55,-3.50952053070068,75.4,160.0,0.878605732754126,-29.7241191864013,-71.832275390625,3.01739192048693,3.204345703125,14.55,WFS1
160817_5,7.476806640625,49.37744140625,80.0,39.25,0.547038327526132,0.949733246520251,602.6,5.7373046875,31.0,41.5277623762376,62.9425048828125,2.4,-3.265380859375,159.4,400.0,0.936768149882904,-32.8369140625,-61.029052734375,1.75700934579439,0.30517578125,24.65,WFS1
160818_3,10.528564453125,56.365966796875,80.85,78.85,0.927647058823529,0.907276601406814,881.7,9.6435546875,47.0,89.9455711060948,101.470947265625,7.6,-3.936767578125,160.5,160.0,0.750354609929078,-31.036376953125,-60.845947265625,2.44961240310077,3.814697265625,14.1,WFS1
160913_3,19.4396953582763,60.6994590759277,40.6,52.1,1.06981519507186,0.4925994277052,255.8,15.3808583021163,89.0,76.8734920218839,102.996730804443,6.95,-7.50732421875,110.9,200.0,0.845565690200952,-30.8532695770263,-73.7960815429687,2.04878034489329,3.41796875,7.05,WFS1
160913_5,15.625,55.755615234375,60.25,48.1,0.764098490865766,0.687363498359991,444.1,10.009765625,77.0,103.705318681318,99.5635986328125,9.0,-4.94384765625,197.6,200.0,0.834355828220858,-31.43310546875,-70.184326171875,2.02469135802469,3.570556640625,7.35,WFS1
160922_3,16.54052734375,79.864501953125,74.55,53.4,0.7280163599182,0.797531272110477,498.25,16.326904296875,42.0,90.5175445544554,191.116333007812,13.95,-4.638671875,119.65,80.0,0.880611270296084,-34.48486328125,-75.0137329101562,3.51973684210526,1.007080078125,11.35,WFS1
160922_4,17.15087890625,76.080322265625,74.5,46.8,0.623584277148567,0.747081586792492,146.15,14.6484375,65.0,67.6266074895977,176.620483398437,9.3,-5.0048828125,146.15,120.0,0.849646821392532,-37.04833984375,-75.0457763671875,2.92682926829268,3.41796875,6.85,WFS1
160922_7,24.383544921875,63.201904296875,83.4,143.35,1.68053927315357,0.529508337478699,169.85,16.29638671875,20.0,68.6116967509025,128.936767578125,7.25,-7.293701171875,82.05,160.0,0.839215686274509,-30.57861328125,-76.7410278320312,2.23430962343096,3.47900390625,19.0,WFS1
160922_8,11.77978515625,53.89404296875,7.65,75.0,3.37078651685393,0.737886045767482,1.8,5.859375,13.0,96.0472506887052,74.3865966796875,6.65,-4.94384765625,0.05,80.0,0.811676082862523,-32.928466796875,-50.06103515625,1.18518518518518,6.8359375,7.65,WFS1
160923_7,14.678955078125,58.685302734375,50.85,33.4,0.78866587957497,0.754286769602624,417.85,9.979248046875,62.0,74.281331136738,135.040283203125,8.6,-4.7607421875,143.65,120.0,0.877167630057803,-35.552978515625,-73.708785207648,2.09615384615384,3.570556640625,6.95,WFS1
160927_3,15.960693359375,57.18994140625,64.95,52.5,0.874271440466278,0.789895103939937,293.95,9.70458984375,20.0,84.950101472995,139.236450195312,9.9,-4.2724609375,157.35,160.0,0.927440633245382,-34.515380859375,-78.1021118164062,2.27142857142857,3.41796875,23.65,WFS1
160929_8,14.70947265625,70.098876953125,34.3,49.4,1.23964868255959,0.645637628206308,90.5,11.53564453125,44.0,131.896352201257,34.332275390625,4.0,-6.53076171875,47.7,360.0,0.619565217391304,-42.388916015625,-58.7493896484375,1.76635514018691,1.4190673828125,14.8,WFS1
161004_2,15.68603515625,59.417724609375,79.1,51.0,0.872540633019674,0.846764282674908,176.8,7.781982421875,41.0,77.3102644067797,130.081176757812,8.7,-4.21142578125,176.8,160.0,0.783564814814814,-37.445068359375,-72.332763671875,1.84782608695652,5.31005859375,16.95,WFS1
161004_3,9.21630859375,69.82421875,43.55,70.6,1.67497034400949,0.925688301237554,27.9,11.627197265625,44.0,172.522119658119,38.909912109375,7.7,-4.2724609375,14.3,160.0,0.902208201892744,-37.4755859375,-47.4365234375,2.72142857142857,1.983642578125,10.25,WFS1
161004_4,17.5781230926513,64.4531230926513,48.95,36.25,0.895061728395061,0.813673940633884,360.2,11.352538106963,52.0,86.3533291916215,219.726610183715,15.4,-4.11987352371215,103.95,80.0,0.87644150292849,-31.7993144989013,-65.7272327423095,2.75555500469198,0.91552734375,8.35,WFS1
161004_5,18.9514141082763,76.416009902954,73.85,77.05,0.903812316715542,0.760614327891136,427.05,17.4865722581744,36.0,88.6911177730193,100.326538085937,7.9,-5.21850490570068,116.4,160.0,0.739690679718215,-31.2499980926513,-64.9337753295898,3.35087780392275,4.02832412719726,17.25,WFS1
161004_6,14.4348125457763,59.3261680603027,77.1,49.2,0.745454545454545,0.743050839787877,938.7,12.5732413530349,52.0,120.202687928468,85.8305931091308,9.4,-4.30297803878784,331.25,200.0,0.82432425013693,-30.8227519989013,-73.602294921875,2.92198594547716,3.753662109375,12.7,WFS1
161004_7,8.08716011047363,51.6662559509277,20.7,31.9,0.771463119709794,0.866116810380028,799.75,7.11059498786926,36.0,58.6228889119784,39.2913818359375,2.65,-3.60107398033142,43.55,400.0,0.991279072936383,-27.4353008270263,-58.0978355407714,1.97457620329556,0.030517578125,20.7,WFS1
161006_6,15.106201171875,77.423095703125,77.6,58.45,1.01563857515204,0.771590888057886,258.5,18.06640625,24.0,129.869504587155,91.1712646484375,10.8,-5.31005859375,139.7,160.0,0.736770691994572,-34.7900390625,-64.4577026367187,3.40229885057471,3.692626953125,29.5,WFS1
161006_8,23.3154277801513,66.8029766082763,83.9,62.6,0.852280462899931,0.531117040559633,373.65,17.2119131088256,56.0,49.9108001332762,138.473415374755,5.55,-7.62939381599426,146.5,120.0,0.780182169755743,-30.0292949676513,-72.1221923828125,2.2560000865,4.241943359375,9.9,WFS1
161011_3,11.9934043884277,58.6547832489013,67.1,44.9,0.746467165419783,0.940217207155574,546.1,10.8337392807006,46.0,111.18166945971,109.10038948059,10.9,-3.66210913658142,161.95,120.0,0.745387722230584,-33.721923828125,-61.6424531936645,2.95833326551648,2.01416015625,14.3,WFS1
161011_5,15.350341796875,66.864013671875,83.15,58.95,0.785999999999999,0.877104092946116,695.75,11.505126953125,27.0,125.560745886654,114.44091796875,13.1,-4.33349609375,228.25,120.0,0.77983777520278,-34.3017578125,-68.00537109375,2.65492957746478,3.265380859375,28.85,WFS1
161011_6,17.425537109375,81.268310546875,49.7,101.7,1.55623565416985,0.751458473947243,138.1,19.4091796875,35.0,100.913840707964,43.1060791015625,4.35,-5.31005859375,35.35,720.0,0.857566765578635,-37.65869140625,-78.7628173828125,3.6551724137931,3.082275390625,18.4,WFS1
161013_6,8.6669921875,29.815673828125,26.8,19.95,0.673986486486486,0.965038755128444,71.8,4.0283203125,72.0,56.2829591598599,172.042846679687,9.2,-1.739501953125,71.8,120.0,0.927092709270927,-28.106689453125,-62.7609252929687,2.31578947368421,3.631591796875,3.1,WFS1
161013_7,13.153076171875,33.721923828125,53.8,24.5,0.51201671891327,0.767106801529749,495.0,5.55419921875,87.0,37.9484647619047,223.541259765625,7.6,-2.685546875,144.2,80.0,0.9056875449964,-32.958984375,-69.5877075195312,2.06818181818181,3.72314453125,6.8,WFS1
161018_1,13.946533203125,77.392578125,100.8,91.8,0.918918918918918,0.959834895064837,347.9,14.129638671875,37.0,114.56369044006,148.391723632812,14.4,-3.96728515625,66.4,120.0,0.890973036342321,-34.332275390625,-74.3484497070312,3.56153846153846,2.25830078125,9.5,WFS1
161018_10,10.07080078125,41.473388671875,79.65,61.2,0.85,1.07327961121182,221.65,5.889892578125,49.0,63.6588792029887,164.794921875,9.75,-2.410888671875,97.2,160.0,0.956956956956956,-28.045654296875,-70.4559326171875,2.44303797468354,2.5634765625,8.95,WFS1
161018_3,20.172119140625,61.09619140625,67.25,46.75,0.838565022421524,0.60948770334364,504.1,12.847900390625,42.0,82.9932330749088,99.1820335388183,7.25,-6.011962890625,245.35,200.0,0.860317404887859,-31.494140625,-75.3799438476562,2.13705583756345,3.204345703125,17.15,WFS1
